sentence,tags
"Negara G8 harus kembali didesak untuk melakukan penghapusan utang tanpa syarat kepada negara selatan unconditional debt cancellation , termasuk kepada Indonesia . Koalisi Anti Utang memandang komitmen pengurangan utang debt relief yang dibuat oleh G8 pada pertemuan di Birmingham pada tahun 2005 hanya bersifat karikatif dan tidak menyelesaikan akar permasalahan krisis utang , kata -nya .",NN NNP MD VB VB SC VB NN NN IN NN IN NN NN FW FW FW Z VB IN NNP Z NNP NNP NNP VB NN NN NN FW FW SC VB IN NNP IN NN IN NNP IN NN CD RB VB X CC NEG VB NN NN JJ NN Z VB PRP Z
"Secara efektif mengurangi kemiskinan yang diderita oleh mereka sendiri , maupun membantu pemberdayaan rakyat kategori fakir-miskin , serta usia-lanjut dan muda .",IN JJ VB NN SC VB IN PRP NN Z CC VB NN NN NN NN Z CC NN CC JJ Z
"Komite bermarkas di New York itu mengemukakan semakin banyak pemerintah beralih dari cara penindasan langsung menjadi lebih tak kentara dalam memberangus pengecam mereka di media , mulai dari pengetatan kendali atas pers seperti di Rusia hingga pelarangan internet di China .",NN VB IN NNP NNP PR VB RB CD NN VB IN NN NN RB VB RB NEG JJ IN VB NN PRP IN NN Z VB IN NN NN IN NN IN IN NNP IN NN NN IN NNP Z
"Kemampuan produksi minyak Indonesia hanya sekitar satu juta barel per hari sehingga tidak ada pengaruh -nya ke OPEC , kata -nya .",NN NN NN NNP RB IN CD CD NND IN NN SC NEG VB NN PRP IN NNP Z VB PRP Z
"Guiliani menghimpun 44 persen dukungan , yang berarti mencapai peningkatan dari 34 persen pada 19 Januari lalu , menurut jajak pendapat yang dilakukan oleh ABC News dan Washington Post .",NNP VB CD CD NN Z SC VB VB NN IN CD CD IN CD NNP CC Z IN VB NN SC VB IN NNP NNP CC NNP NNP Z
"Pemerintah harus membuat kebijakan-kebijakan terobosan untuk mendorong sektor riil dengan menciptakan iklim investasi yang menarik melalui penyelesaian ' pending works ' tadi , kata Chief Economist BNI tersebut .",NN MD VB NN NN SC VB NN JJ IN VB NN NN SC VB IN NN Z FW FW Z NN Z VB FW FW NNP PR Z
"Ditambahkan -nya , jika Pertamina ingin kembali menaikkan harga elpiji ukuran 12 kg dan 50 kg , maka hendaknya jangan dilakukan pada dua bulan mendatang , yaitu September dan Oktober , mengingat ekspektasi inflasi yang sangat tinggi pada dua bulan tersebut .",VB PRP Z SC NNP RB VB VB NN NN NN CD NND CC CD NND Z SC RB NEG VB IN CD NN VB Z SC NNP CC NNP Z VB NN NN SC RB JJ IN CD NN PR Z
Namun pihak -nya belum memutuskan apakah menerima atau menolak sampai negosiasi tuntas .,CC NN PRP NEG VB SC VB CC VB SC NN JJ Z
"Ia mengatakan , penerbitan SUN yang semula diperkirakan mencapai 1,7 persen dari PDB netto Rp 117 triliun akan dikurangi . Jadi kita akan mengurangi jumlah penerbitan , tegas -nya .",PRP VB Z NN NNP SC NN VB VB CD CD IN NN FW SYM CD CD MD VB Z VB PRP MD VB NN NN Z VB PRP Z
"Di samping mengakomodasi pemerataan seperti disebut di atas , mengembangkan kelompok usaha ini secara riil strategis",IN NN VB NN IN VB IN NN Z VB NN NN PR IN JJ JJ
